Ticker,MarketCap,AssetType
CMCSA,130436816896,Equity
MCY,3386735872,Equity
VTRS,10017358848,Equity
CPT,12295985152,Equity
CPB,10212733952,Equity
AJG,87774961664,Equity
VRSN,25335158784,Equity
PH,85533319168,Equity
AWI,6779791872,Equity
ACT,5343850496,Equity
MOS,11466314752,Equity
CALX,3058221824,Equity
HRL,16563381248,Equity
TDC,2100331904,Equity
HSY,32146161664,Equity
BKU,2585785344,Equity
MRCY,2905586944,Equity
GPN,18483664896,Equity
TEL,47745552384,Equity
SJW,1875273856,Equity
WELL,98373992448,Equity
RDNT,4203185920,Equity
SHW,89705127936,Equity
RUSHA,3923113216,Equity
DAL,31834726400,Equity
GEV,129423048704,Equity
ASTH,1130404480,Equity
WS,1310373504,Equity
APD,61345366016,Equity
NHC,1595214848,Equity
ARE,12044791808,Equity
ORCL,452953210880,Equity
CAH,36803989504,Equity
CENX,1504046080,Equity
STC,1692194816,Equity
MTD,23976493056,Equity
OTTR,3239838720,Equity
PTGX,2846833152,Equity
LULU,38266155008,Equity
ROP,61709312000,Equity
SKYW,4082735872,Equity
GSHD,4124922368,Equity
ROK,35461578752,Equity
FDP,1663820544,Equity
CTRE,5493806592,Equity
VICR,1908690304,Equity
ZTS,73846644736,Equity
PMT,1080671616,Equity
WABC,1275000064,Equity
HOLX,14081574912,Equity
IOSP,2176387072,Equity
MOH,16542381056,Equity
FFBC,2329261824,Equity
ASO,2730251776,Equity
BK,64013455360,Equity
TDW,2053761152,Equity
AMZN,2180290052096,Equity
AVA,3105726720,Equity
TDG,82080915456,Equity
IVZ,6561170944,Equity
MRTN,1076527872,Equity
STEP,7174757888,Equity
ALGT,1032668352,Equity
BRO,31953291264,Equity
BL,3421996800,Equity
PLD,99288080384,Equity
CCL,31339268096,Equity
KMB,47615594496,Equity
BSX,154942799872,Equity
PKG,17457920000,Equity
DEI,2911260416,Equity
ADEA,1386630016,Equity
CON,2749930240,Equity
PHM,19757793280,Equity
GNW,2892578304,Equity
HCA,91700789248,Equity
KEYS,27991136256,Equity
SRE,50999689216,Equity
DEA,1096923904,Equity
MSFT,3414137241600,Equity
BOOT,4928097792,Equity
NXRT,1736274816,Equity
LXP,2498703616,Equity
NVDA,3298057256960,Equity
GEO,3853010432,Equity
CTAS,91239718912,Equity
OTIS,38149480448,Equity
CWT,2789667840,Equity
MAC,4133439232,Equity
ABNB,79034122240,Equity
GDDY,25838774272,Equity
ETN,128182050816,Equity
PLXS,3544861952,Equity
TDS,3944744448,Equity
PM,278041165824,Equity
POWL,2141502080,Equity
LLY,647949975552,Equity
CASH,1818393600,Equity
CNR,3755770880,Equity
CENTA,2089105920,Equity
AEO,1958760832,Equity
MAR,72817983488,Equity
GL,10066931712,Equity
HUBB,21179047936,Equity
HLIT,1028051776,Equity
ADNT,1298056448,Equity
AIR,2235547136,Equity
ORLY,78142013440,Equity
CENT,2090861568,Equity
ICE,102197207040,Equity
AMGN,150958260224,Equity
HSIC,9160366080,Equity
T,197408292864,Equity
MPC,49115840512,Equity
AVY,14134149120,Equity
UAL,25263239168,Equity
JPM,734791335936,Equity
NATL,1950579072,Equity
DORM,3894754816,Equity
WEC,34010112000,Equity
HMN,1777357056,Equity
PRG,1154124416,Equity
BLDR,12129020928,Equity
INSP,4145220096,Equity
XLI,19564161024,ETF
PENN,2320145664,Equity
KTOS,5766388736,Equity
AVB,28682881024,Equity
FICO,39002218496,Equity
PANW,125251706880,Equity
ACN,197880545280,Equity
MDT,104804179968,Equity
DNOW,1559767168,Equity
AMCR,20965761024,Equity
GTES,5503411200,Equity
SJM,11969943552,Equity
HPE,23283206144,Equity
RTX,178710036480,Equity
ABCB,4273853696,Equity
EBAY,33484926976,Equity
OFG,1866139264,Equity
HRMY,1939218688,Equity
WLY,2189556480,Equity
ARWR,2192337408,Equity
PEP,180674052096,Equity
LHX,45895241728,Equity
LMAT,1835794944,Equity
NEE,139513348096,Equity
NMIH,3049136640,Equity
ETR,36894052352,Equity
NEM,58760830976,Equity
ANIP,1261393024,Equity
DRI,25047660544,Equity
GOOGL,2102299066368,Equity
BAC,333058211840,Equity
NFLX,514255749120,Equity
PINC,1909656192,Equity
ON,18077704192,Equity
DUK,89874300928,Equity
GFS,20597274624,Equity
INCY,12587856896,Equity
CSCO,251420803072,Equity
ESE,4706772992,Equity
WM,95773106176,Equity
PRU,37029134336,Equity
PRA,1183041280,Equity
GKOS,5445489664,Equity
TRIP,1720009984,Equity
DE,138223009792,Equity
MMSI,5634546176,Equity
XOM,442427670528,Equity
WSM,20613650432,Equity
EXPI,1210309632,Equity
SANM,4574630400,Equity
ARCB,1478193024,Equity
FANG,40216924160,Equity
XYL,30762002432,Equity
MCW,2325761280,Equity
ALG,2415642368,Equity
INVA,1208422656,Equity
VBTX,1329923072,Equity
ED,37391519744,Equity
IAC,2942968832,Equity
MTX,1882988800,Equity
TRV,62127480832,Equity
UNIT,1066493184,Equity
AAT,1530862720,Equity
RVTY,10836378624,Equity
RHI,4705673728,Equity
SDGR,1571733120,Equity
JBGS,1301495296,Equity
KLG,1494070016,Equity
MSGS,4543169536,Equity
GS,188406513664,Equity
CURB,2377859072,Equity
PHIN,1763940736,Equity
FELE,3915091968,Equity
MAA,18443517952,Equity
AKR,2645913600,Equity
PFS,2184635136,Equity
XEL,40038748160,Equity
AMD,184945000448,Equity
PAYO,2455746048,Equity
VRTX,115389800448,Equity
NSIT,4333295104,Equity
DV,2185665536,Equity
AZZ,2689337344,Equity
JNPR,12037788672,Equity
AFL,55781048320,Equity
SLVM,2246264064,Equity
TECH,7422917632,Equity
PATK,2930237184,Equity
FE,24067403776,Equity
AKAM,10968412160,Equity
CCEP,40714878976,Equity
ROL,27668441088,Equity
OMCL,1381651968,Equity
VCEL,2129005568,Equity
AMT,99039272960,Equity
COR,56660279296,Equity
BXP,11805548544,Equity
OUT,2729989120,Equity
SFBS,4071878144,Equity
RHP,6076102144,Equity
GEHC,32399943680,Equity
APA,6273290240,Equity
APTV,14876401664,Equity
NEOG,1309824256,Equity
SYY,35159060480,Equity
ROG,1251542144,Equity
AMAT,129820098560,Equity
MCK,89978748928,Equity
NTAP,20670720000,Equity
KMI,62626541568,Equity
TKO,12947987456,Equity
DD,28681830400,Equity
TTMI,3032639232,Equity
MBC,1273716864,Equity
K,28610324480,Equity
MTRN,1633298176,Equity
WD,2335888128,Equity
KN,1437261824,Equity
MRNA,10268000256,Equity
RUN,1509150080,Equity
IFF,19473291264,Equity
ODFL,34738130944,Equity
NOC,68535635968,Equity
STZ,32623622144,Equity
ULTA,19038418944,Equity
UPS,82475753472,Equity
KRYS,3661754368,Equity
CVX,237843824640,Equity
CPRX,3009733120,Equity
GPI,5569164288,Equity
TPL,28300814336,Equity
MMM,80250863616,Equity
CAG,10955457536,Equity
CMS,20738267136,Equity
FSLR,16649824256,Equity
NUE,25342228480,Equity
AZTA,1252995840,Equity
CCS,1627222784,Equity
DECK,15599624192,Equity
DCOM,1121318016,Equity
KLAC,104215166976,Equity
LZB,1759728640,Equity
MODG,1143856128,Equity
MCHP,31360655360,Equity
ACAD,3717109760,Equity
PJT,5989798912,Equity
XLY,25995089920,ETF
GO,1362190848,Equity
BBY,15262560256,Equity
MPW,2754668032,Equity
HCC,2476594176,Equity
TGI,1991944576,Equity
CBRE,36722061312,Equity
IP,25650759680,Equity
HIW,3248277504,Equity
GPC,17710991360,Equity
HCSG,1030339840,Equity
CUBI,1628667008,Equity
KKR,111441543168,Equity
STE,24114675712,Equity
BCPC,5443337728,Equity
KMT,1646645760,Equity
PLAB,1127584512,Equity
PIPR,4169696000,Equity
FFIV,16374609920,Equity
CNC,28236482560,Equity
CSGS,1907549440,Equity
INTC,89508241408,Equity
PRGS,2646744320,Equity
CRVL,5713278976,Equity
TSLA,1163346313216,Equity
BANR,2137389824,Equity
ACLS,1899255040,Equity
TFIN,1378694272,Equity
YOU,3258076160,Equity
EIG,1172460032,Equity
POOL,11269912576,Equity
EVTC,2325731584,Equity
UPBD,1323047424,Equity
PRVA,2785262336,Equity
UNFI,1836906496,Equity
BMI,7297938432,Equity
CAKE,2720077568,Equity
WDAY,63783092224,Equity
REGN,64890740736,Equity
LUV,18754289664,Equity
EXPD,15468275712,Equity
MGM,8666584064,Equity
HP,1515108992,Equity
SEE,4798339072,Equity
RES,1002467904,Equity
SEM,1919730048,Equity
COP,107266981888,Equity
CHEF,2594386688,Equity
SBAC,24536678400,Equity
AX,3988960768,Equity
GOLF,4107470336,Equity
CVBF,2627941120,Equity
SYF,22220851200,Equity
ADUS,2113136640,Equity
CAT,164913594368,Equity
NWL,2226254848,Equity
AEP,54760333312,Equity
TMUS,274980438016,Equity
WAT,21282834432,Equity
PSMT,3277003008,Equity
TXN,167535853568,Equity
STRL,5761001984,Equity
FTV,24389931008,Equity
LTC,1622039040,Equity
NWSA,16763156480,Equity
TYL,24938102784,Equity
CVI,2339858944,Equity
ESS,19074607104,Equity
DOW,20308146176,Equity
KR,45297979392,Equity
ANSS,30577217536,Equity
GMS,2910469632,Equity
LNN,1510793472,Equity
ESI,5276887040,Equity
PFBC,1041067008,Equity
FCX,56047706112,Equity
PTEN,2219425280,Equity
BX,168068743168,Equity
SXT,4037648128,Equity
TSCO,26446526464,Equity
CPK,2838478080,Equity
PI,3371603968,Equity
SABR,1027688640,Equity
PZZA,1414587008,Equity
REG,13057545216,Equity
WBD,24159295488,Equity
PARA,8520780288,Equity
ERIE,18420946944,Equity
PNR,16359742464,Equity
SNDR,4108416768,Equity
SNDK,5522814976,Equity
URBN,6708108800,Equity
PBI,1867812096,Equity
ELV,86518423552,Equity
NBHC,1397679872,Equity
OXY,40792313856,Equity
HAL,17185701888,Equity
FOXF,1039473024,Equity
CARR,61361963008,Equity
PAYX,57144299520,Equity
HWM,68753752064,Equity
JKHY,13450936320,Equity
ALL,54686240768,Equity
AON,78402420736,Equity
LGIH,1222651136,Equity
GTY,1601716480,Equity
SUPN,1823581312,Equity
SFNC,2389309440,Equity
KDP,44575793152,Equity
MKTX,8124180480,Equity
DFH,1948262144,Equity
INSW,1801337600,Equity
LEG,1208871936,Equity
UNF,3480640256,Equity
CBU,2974482432,Equity
FUN,3519325952,Equity
LNT,15874936832,Equity
WSC,5106919936,Equity
XLE,15329646592,ETF
APO,75657232384,Equity
TBBK,2410337280,Equity
ZD,1355220736,Equity
TROW,20953153536,Equity
QCOM,162668691456,Equity
ARLO,1390743424,Equity
FDX,52203831296,Equity
TALO,1430316928,Equity
KMX,9732683776,Equity
GIS,29493790720,Equity
IART,1007151488,Equity
BXMT,3263451648,Equity
TSN,19867168768,Equity
BOX,5316048384,Equity
TGNA,2713149696,Equity
CTRA,18788050944,Equity
FTNT,80139051008,Equity
NBTB,2212049664,Equity
CSX,59315216384,Equity
VRTS,1188892288,Equity
SPNT,2283978496,Equity
CNS,3962613504,Equity
CI,84077920256,Equity
UNP,133822668800,Equity
SMTC,3121019392,Equity
BKE,2206158592,Equity
VYX,1533179776,Equity
ADI,107675885568,Equity
INVH,20389748736,Equity
WST,15231224832,Equity
WY,18646769664,Equity
CTVA,48052056064,Equity
EL,23970275328,Equity
WDC,18209687552,Equity
EOG,60456824832,Equity
V,687217836032,Equity
SCL,1260213376,Equity
BCC,3324772352,Equity
CHCO,1722838144,Equity
BG,10681164800,Equity
MDU,3459323904,Equity
VICI,33307500544,Equity
INTU,211068043264,Equity
PCAR,49868480512,Equity
BMY,95597879296,Equity
FI,87240187904,Equity
ALB,6889639936,Equity
TRNO,5769144832,Equity
AME,41500499968,Equity
DOC,11984128000,Equity
MKC,19213068288,Equity
CDW,24349874176,Equity
IBM,243093078016,Equity
TFC,51916713984,Equity
GILD,135327145984,Equity
CVS,79658311680,Equity
ABG,4500384256,Equity
COST,452030889984,Equity
ABBV,327499382784,Equity
PNC,69283561472,Equity
CFG,17364086784,Equity
PAYC,14589198336,Equity
HCI,1880773888,Equity
TILE,1186280576,Equity
CVCO,3565814784,Equity
GRBK,2588576768,Equity
SPGI,157447995392,Equity
SAFT,1237956096,Equity
PLUS,1838307328,Equity
TGTX,5619927552,Equity
VLTO,25074857984,Equity
EQR,26862350336,Equity
RMD,36067311616,Equity
FUL,3028293632,Equity
BWA,7361718784,Equity
